"symbol","date","open","high","low","close","volume","adjusted"
"EURUSD=X",2013-01-01,1.32013201713562,1.3224014043808,1.31959199905396,1.32013201713562,0,1.32013201713562
"EURUSD=X",2013-01-02,1.31978356838226,1.32980489730835,1.3194352388382,1.31978356838226,0,1.31978356838226
"EURUSD=X",2013-01-03,1.31839156150818,1.31891322135925,1.30890047550201,1.31821775436401,0,1.31821775436401
"EURUSD=X",2013-01-04,1.30310130119324,1.30638003349304,1.30005192756653,1.30327117443085,0,1.30327117443085
"EURUSD=X",2013-01-07,1.30684781074524,1.30992925167084,1.30205953121185,1.30674540996552,0,1.30674540996552
"EURUSD=X",2013-01-08,1.31233596801758,1.3138188123703,1.30676245689392,1.31250822544098,0,1.31250822544098
"EURUSD=X",2013-01-09,1.30838680267334,1.30950045585632,1.30390000343323,1.30823266506195,0,1.30823266506195
"EURUSD=X",2013-01-10,1.30536377429962,1.32159757614136,1.30410397052765,1.30548310279846,0,1.30548310279846
"EURUSD=X",2013-01-11,1.3273161649704,1.33621060848236,1.32520544528961,1.3273161649704,0,1.3273161649704
"EURUSD=X",2013-01-14,1.33600533008575,1.34030294418335,1.33384025096893,1.33620166778564,0,1.33620166778564
"EURUSD=X",2013-01-15,1.33779263496399,1.33940529823303,1.33107936382294,1.33779263496399,0,1.33779263496399
"EURUSD=X",2013-01-16,1.33102631568909,1.33270072937012,1.3260840177536,1.33084905147552,0,1.33084905147552
"EURUSD=X",2013-01-17,1.32908034324646,1.33761370182037,1.32710480690002,1.32908034324646,0,1.32908034324646
"EURUSD=X",2013-01-18,1.33725595474243,1.33976423740387,1.32973420619965,1.33725595474243,0,1.33725595474243
"EURUSD=X",2013-01-21,1.3319126367569,1.33315551280975,1.33013033866882,1.33200132846832,0,1.33200132846832
"EURUSD=X",2013-01-22,1.33102631568909,1.33730065822601,1.32718050479889,1.33115029335022,0,1.33115029335022
"EURUSD=X",2013-01-23,1.33155798912048,1.33580005168915,1.32740080356598,1.33139836788177,0,1.33139836788177
"EURUSD=X",2013-01-24,1.33084905147552,1.33779263496399,1.32887005805969,1.33084905147552,0,1.33084905147552
"EURUSD=X",2013-01-25,1.33689832687378,1.34791052341461,1.33532738685608,1.33693408966064,0,1.33693408966064
"EURUSD=X",2013-01-28,1.34661996364594,1.34755086898804,1.34275949001312,1.34660184383392,0,1.34660184383392
"EURUSD=X",2013-01-29,1.34480905532837,1.34918165206909,1.34174156188965,1.34462821483612,0,1.34462821483612
"EURUSD=X",2013-01-30,1.34916353225708,1.35769951343536,1.34836316108704,1.34916353225708,0,1.34916353225708
"EURUSD=X",2013-01-31,1.35685217380524,1.35900032520294,1.35440063476562,1.35683369636536,0,1.35683369636536
"EURUSD=X",2013-02-01,1.36109972000122,1.36930024623871,1.35888957977295,1.36109972000122,0,1.36109972000122
"EURUSD=X",2013-02-04,1.36472189426422,1.36481511592865,1.35483002662659,1.36487090587616,0,1.36487090587616
"EURUSD=X",2013-02-05,1.35107755661011,1.3569073677063,1.34643864631653,1.35116875171661,0,1.35116875171661
"EURUSD=X",2013-02-06,1.3583265542984,1.35961937904358,1.35023832321167,1.35814201831818,0,1.35814201831818
"EURUSD=X",2013-02-07,1.35226511955261,1.35755944252014,1.3373703956604,1.3523930311203,0,1.3523930311203
"EURUSD=X",2013-02-08,1.33854472637177,1.34279918670654,1.336541056633,1.33893895149231,0,1.33893895149231
"EURUSD=X",2013-02-11,1.33671975135803,1.34110999107361,1.33600533008575,1.33682692050934,0,1.33682692050934
"EURUSD=X",2013-02-12,1.34030294418335,1.34734570980072,1.33682692050934,1.34035670757294,0,1.34035670757294
"EURUSD=X",2013-02-13,1.34517085552216,1.35180985927582,1.34312009811401,1.34520697593689,0,1.34520697593689
"EURUSD=X",2013-02-14,1.34444749355316,1.34553277492523,1.33202981948853,1.34444749355316,0,1.34444749355316
"EURUSD=X",2013-02-15,1.3352917432785,1.33899998664856,1.33093762397766,1.3352917432785,0,1.3352917432785
